EmpleadoID,CentroTrabajoID,ComponenteID,Fecha,Monto,Comentarios,Aprobado,FechaAprobacion,Aprobador,Insercion,Cancelado_Por,Fecha_Cancelacion,Autorizado
00079031,TIE-10QRI50IXR,INCENTIVO EXTRAORDINARIO,06/06/2025,2.00,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
00079031,TIE-10QRI50IXR,INCENTIVO EXTRAORDINARIO,07/06/2025,227.00,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
00086940,TIE-10GUD50UJA,INCENTIVO EXTRAORDINARIO,01/06/2025,47.40,Booster TEREA PROVENCE SEM 6,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00086940,TIE-10GUD50UJA,INCENTIVO EXTRAORDINARIO,04/06/2025,35.55,ZYN CatchUp Semana 2,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00086940,TIE-10GUD50UJA,INCENTIVO EXTRAORDINARIO,06/06/2025,543.52,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
00086940,TIE-10GUD50UJA,INCENTIVO EXTRAORDINARIO,07/06/2025,813.50,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
00086940,TIE-10GUD50UJA,INCENTIVO EXTRAORDINARIO,11/06/2025,17.78,Concurso PMI Ola 2 Semana 3 - ZYN,SI,30/06/2025,INTERFAZE,30/06/2025,,,
00086940,TIE-10GUD50UJA,INCENTIVO EXTRAORDINARIO,16/06/2025,23.50,Retroactivo Incentivo SPIN,SI,30/06/2025,INTERFAZE,30/06/2025,,,
00086940,TIE-10GUD50UJA,INCENTIVO EXTRAORDINARIO,20/06/2025,41.40,Venta Sugerida,SI,24/06/2025,INTERFAZE,24/06/2025,,,
00094053,TIE-10PCK50YFA,INCENTIVO EXTRAORDINARIO,06/06/2025,9.00,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
00094053,TIE-10PCK50YFA,INCENTIVO EXTRAORDINARIO,07/06/2025,250.00,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
00100620,TIE-10DCU50BEF,INCENTIVO EXTRAORDINARIO,01/06/2025,23.70,PXP CC PROVENCE SEM 7,SI,27/06/2025,INTERFAZE,27/06/2025,,,
00100620,TIE-10DCU50BEF,INCENTIVO EXTRAORDINARIO,06/06/2025,379.05,PAGO PREMIA OXXO,SI,06/06/2025,INTERFAZE,06/06/2025,,,
00100620,TIE-10DCU50BEF,INCENTIVO EXTRAORDINARIO,07/06/2025,155.50,PAGO SPIN BY OXXO,SI,07/06/2025,INTERFAZE,07/06/2025,,,
00100620,TIE-10DCU50BEF,INCENTIVO EXTRAORDINARIO,11/06/2025,23.70,Concurso PMI Ola 2 Semana 3 - CCs Provence,SI,30/06/2025,INTERFAZE,30/06/2025,,,
