PLAZA,CR TIENDA,DESC_TIENDA,MONTO SIN IMPUESTOS ,MONTO CON IMPUESTOS 
10CAN Merida,5009D,Telchac Pueblo MID,50,59.25
10CAN Merida,5009Z,Chuburna Puerto MID,225,266.625
10CAN Merida,500R7,La Quinta MID,45,53.325
10CAN Merida,5014Q,Serena CUN,135,159.975
10CAN Merida,50222,Autovia CUN,50,59.25
10CAN Merida,502FU,IMMS Heroes MID,200,237
10CAN Merida,502LL,Cittadela MID,675,799.875
10CAN Merida,502W2,Paseos de Mulchechen MID,200,237
10CAN Merida,503JJ,Alpha MID,405,479.925
10CAN Merida,50449,Guayacan MID,50,59.25
10CAN Merida,504NH,Jacintos MID,50,59.25
10CAN Merida,504TY,Mirova CUN,45,53.325
10CAN Merida,504VQ,Gaviotas MDA,100,118.5
10CAN Merida,50569,Mareas CUN,675,799.875
10CAN Merida,505DZ,Los Lirios MID,315,373.275
10CAN Merida,505M1,Zafiro MID,180,213.3
10CAN Merida,505M7,Periferico Tizimin MID,100,118.5
10CAN Merida,505Z1,Montebello MID,225,266.625
10CAN Merida,506B0,Frontera MID,135,159.975
10CAN Merida,506VI,Uptown MID,45,53.325
10CAN Merida,507T9,Petronila MID,45,53.325
10CAN Merida,507YE,Hamacas MID,150,177.75
10CAN Merida,508JA,San Angelo MID,360,426.6
10CAN Merida,508U6,Santa Gertrudis MID,225,266.625
10CAN Merida,509CR,Ebtun CUN,50,59.25
10CAN Merida,509EB,Kiina CUN,150,177.75
10CAN Merida,509F2,Acanceh,300,355.5
10CAN Merida,509QY,Xcanatun MID,350,414.75
10CAN Merida,509S2,Malaga MID,135,159.975
10CAN Merida,50A03,Algarrobos CUN,135,159.975
10CAN Merida,50A04,Real Kanasin MID,200,237
10CAN Merida,50A13,Centrito MID,270,319.95
10CAN Merida,50A2Q,Bazar MID,150,177.75
10CAN Merida,50ABN,Altabrisa II MID,90,106.65
10CAN Merida,50ANM,Almendro MID,90,106.65
10CAN Merida,50AWY,La Huayita MID,50,59.25
10CAN Merida,50BKO,El Pocito MID,45,53.325
10CAN Merida,50BRC,Santa Maria MID,50,59.25
10CAN Merida,50BY2,Zaci MID,50,59.25
10CAN Merida,50C3H,Palmas Yucatan CUN,100,118.5
10CAN Merida,50CV1,Jardines Dzytia MID,225,266.625
10CAN Merida,50CW7,Nueva Mayapan MID,180,213.3
10CAN Merida,50CXP,Contaduria MID,50,59.25
10CAN Merida,50CYP,La Perla MID,50,59.25
10CAN Merida,50D7L,Boreas MID,50,59.25
10CAN Merida,50DDW,Caridad del CobreMID,150,177.75
10CAN Merida,50DEZ,G 18 MID,135,159.975
10CAN Merida,50DOU,Ateneo MID,45,53.325
10CAN Merida,50DRJ,Cuauhtemoc MID,50,59.25
10CAN Merida,50DZY,Americas DZITYA MID,150,177.75
10CAN Merida,50E3W,Savona CUN,100,118.5
10CAN Merida,50EFU,Castellana MID,45,53.325
10CAN Merida,50EJO,Paseo del MontejoMID,50,59.25
10CAN Merida,50EL7,Del Marques MID,100,118.5
10CAN Merida,50EY4,Diego Cutz CUN,1035,1226.475
10CAN Merida,50F16,Camilo MID,50,59.25
10CAN Merida,50F37,Magnolias MID,90,106.65
10CAN Merida,50F5G,Gas Heroes MID,45,53.325
10CAN Merida,50FCM,Fco. de Mont. II MID,135,159.975
10CAN Merida,50FDM,Fco. de Montejo MID,200,237
10CAN Merida,50FMW,Fco.Montejo III MID,100,118.5
10CAN Merida,50FSX,Monty MID,100,118.5
10CAN Merida,50FZQ,Juan B Sosa MID,45,53.325
10CAN Merida,50FZS,Banderas MID,90,106.65
10CAN Merida,50GAL,Cocoyoles MID,270,319.95
10CAN Merida,50GTK,Cocoteros MID,630,746.55
10CAN Merida,50HMN,Malecon MID,300,355.5
10CAN Merida,50IPQ,Piste MID,150,177.75
10CAN Merida,50J62,Reforma MID,45,53.325
10CAN Merida,50JAI,Henequenes MID,100,118.5
10CAN Merida,50JR5,El Faro MID,135,159.975
10CAN Merida,50JZ8,Provincia CUN,135,159.975
10CAN Merida,50JZQ,Juarez MID,50,59.25
10CAN Merida,50K3X,Gas Dzitya MID,90,106.65
10CAN Merida,50KCP,Casino Progreso MID,100,118.5
10CAN Merida,50KEU,Plaza Mexico MID,90,106.65
10CAN Merida,50KMO,Remos MID,100,118.5
10CAN Merida,50KPA,Palmas MID,45,53.325
10CAN Merida,50L05,Vega del Mayab MID,100,118.5
10CAN Merida,50LDV,Linda Vista MID,150,177.75
10CAN Merida,50LRN,Sirena MID,50,59.25
10CAN Merida,50LUV,Santa Lucia MID,150,177.75
10CAN Merida,50LWM,Lopez Mateos MID,200,237
10CAN Merida,50LXV,Revolucion MID,495,586.575
10CAN Merida,50MDD,Dorada MID,350,414.75
10CAN Merida,50MEO,Mexico Oriente MID,135,159.975
10CAN Merida,50MFC,Federal 5 MID,135,159.975
10CAN Merida,50MII,ISSSTE MID,150,177.75
10CAN Merida,50MLN,Colon MID,315,373.275
10CAN Merida,50MO9,Costa Azul MID,360,426.6
10CAN Merida,50MPS,Pinos MID,315,373.275
10CAN Merida,50MSW,Montecristo II MID,405,479.925
10CAN Merida,50MTC,60 Tec MID,45,53.325
10CAN Merida,50MTN,Tecnologico MID,45,53.325
10CAN Merida,50MTT,Montecristo MID,360,426.6
