Tienda,CR Tienda,Plaza.,CR Plaza,CERVEZA
Telchac Pueblo MID,5009D,10CAN Merida,10CAN,2
Chuburna Puerto MID,5009Z,10CAN Merida,10CAN,2
La Quinta MID,500R7,10CAN Merida,10CAN,2
Serena CUN,5014Q,10CAN Merida,10CAN,2
Autovia CUN,50222,10CAN Merida,10CAN,2
IMMS Heroes MID,502FU,10CAN Merida,10CAN,2
Cittadela MID,502LL,10CAN Merida,10CAN,2
Paseos de Mulchechen MID,502W2,10CAN Merida,10CAN,2
Alpha MID,503JJ,10CAN Merida,10CAN,2
Guayacan MID,50449,10CAN Merida,10CAN,2
Jacintos MID,504NH,10CAN Merida,10CAN,2
Mirova CUN,504TY,10CAN Merida,10CAN,2
Gaviotas MDA,504VQ,10CAN Merida,10CAN,2
Mareas CUN,50569,10CAN Merida,10CAN,2
Los Lirios MID,505DZ,10CAN Merida,10CAN,2
Zafiro MID,505M1,10CAN Merida,10CAN,2
Periferico Tizimin MID,505M7,10CAN Merida,10CAN,2
Montebello MID,505Z1,10CAN Merida,10CAN,2
Frontera MID,506B0,10CAN Merida,10CAN,2
Uptown MID,506VI,10CAN Merida,10CAN,2
Petronila MID,507T9,10CAN Merida,10CAN,2
Hamacas MID,507YE,10CAN Merida,10CAN,2
San Angelo MID,508JA,10CAN Merida,10CAN,2
Santa Gertrudis MID,508U6,10CAN Merida,10CAN,2
Ebtun CUN,509CR,10CAN Merida,10CAN,2
Kiina CUN,509EB,10CAN Merida,10CAN,2
Acanceh,509F2,10CAN Merida,10CAN,2
Xcanatun MID,509QY,10CAN Merida,10CAN,2
Malaga MID,509S2,10CAN Merida,10CAN,2
Algarrobos CUN,50A03,10CAN Merida,10CAN,2
Real Kanasin MID,50A04,10CAN Merida,10CAN,2
Centrito MID,50A13,10CAN Merida,10CAN,2
Bazar MID,50A2Q,10CAN Merida,10CAN,2
Altabrisa II MID,50ABN,10CAN Merida,10CAN,2
Almendro MID,50ANM,10CAN Merida,10CAN,2
La Huayita MID,50AWY,10CAN Merida,10CAN,2
El Pocito MID,50BKO,10CAN Merida,10CAN,2
Santa Maria MID,50BRC,10CAN Merida,10CAN,2
Zaci MID,50BY2,10CAN Merida,10CAN,2
Palmas Yucatan CUN,50C3H,10CAN Merida,10CAN,2
Jardines Dzytia MID,50CV1,10CAN Merida,10CAN,2
Nueva Mayapan MID,50CW7,10CAN Merida,10CAN,2
Contaduria MID,50CXP,10CAN Merida,10CAN,2
La Perla MID,50CYP,10CAN Merida,10CAN,2
Boreas MID,50D7L,10CAN Merida,10CAN,2
Caridad del CobreMID,50DDW,10CAN Merida,10CAN,2
G 18 MID,50DEZ,10CAN Merida,10CAN,2
Ateneo MID,50DOU,10CAN Merida,10CAN,2
Cuauhtemoc MID,50DRJ,10CAN Merida,10CAN,2
Americas DZITYA MID,50DZY,10CAN Merida,10CAN,2
Savona CUN,50E3W,10CAN Merida,10CAN,2
Castellana MID,50EFU,10CAN Merida,10CAN,2
Paseo del MontejoMID,50EJO,10CAN Merida,10CAN,2
Del Marques MID,50EL7,10CAN Merida,10CAN,2
Diego Cutz CUN,50EY4,10CAN Merida,10CAN,2
Camilo MID,50F16,10CAN Merida,10CAN,2
Magnolias MID,50F37,10CAN Merida,10CAN,2
Gas Heroes MID,50F5G,10CAN Merida,10CAN,2
Fco. de Mont. II MID,50FCM,10CAN Merida,10CAN,2
Fco. de Montejo MID,50FDM,10CAN Merida,10CAN,2
Fco.Montejo III MID,50FMW,10CAN Merida,10CAN,2
Monty MID,50FSX,10CAN Merida,10CAN,2
Juan B Sosa MID,50FZQ,10CAN Merida,10CAN,2
Banderas MID,50FZS,10CAN Merida,10CAN,2
Cocoyoles MID,50GAL,10CAN Merida,10CAN,2
Cocoteros MID,50GTK,10CAN Merida,10CAN,2
Malecon MID,50HMN,10CAN Merida,10CAN,2
Piste MID,50IPQ,10CAN Merida,10CAN,2
Reforma MID,50J62,10CAN Merida,10CAN,2
Henequenes MID,50JAI,10CAN Merida,10CAN,2
El Faro MID,50JR5,10CAN Merida,10CAN,2
Provincia CUN,50JZ8,10CAN Merida,10CAN,2
Juarez MID,50JZQ,10CAN Merida,10CAN,2
Gas Dzitya MID,50K3X,10CAN Merida,10CAN,2
Casino Progreso MID,50KCP,10CAN Merida,10CAN,2
Plaza Mexico MID,50KEU,10CAN Merida,10CAN,2
Remos MID,50KMO,10CAN Merida,10CAN,2
Palmas MID,50KPA,10CAN Merida,10CAN,2
Vega del Mayab MID,50L05,10CAN Merida,10CAN,2
Linda Vista MID,50LDV,10CAN Merida,10CAN,2
Sirena MID,50LRN,10CAN Merida,10CAN,2
Santa Lucia MID,50LUV,10CAN Merida,10CAN,2
Lopez Mateos MID,50LWM,10CAN Merida,10CAN,2
Revolucion MID,50LXV,10CAN Merida,10CAN,2
Dorada MID,50MDD,10CAN Merida,10CAN,2
Mexico Oriente MID,50MEO,10CAN Merida,10CAN,2
Federal 5 MID,50MFC,10CAN Merida,10CAN,2
ISSSTE MID,50MII,10CAN Merida,10CAN,2
Colon MID,50MLN,10CAN Merida,10CAN,2
Costa Azul MID,50MO9,10CAN Merida,10CAN,2
Pinos MID,50MPS,10CAN Merida,10CAN,2
Montecristo II MID,50MSW,10CAN Merida,10CAN,2
60 Tec MID,50MTC,10CAN Merida,10CAN,2
