categoriaId,sociedadId,plazaId,PorcentajeSociedad
CIG,N099,10CAN Campeche,0
CIG,F099,10CAN Campeche,0
OHAP,N099,10CAN Campeche,0
OHAP,F099,10CAN Campeche,0
CIG3,N099,10CAN Campeche,0
CIG3,F099,10CAN Campeche,0
CIG,N099,10CAN Cancun,0
CIG,F099,10CAN Cancun,0
OHAP,N099,10CAN Cancun,0
OHAP,F099,10CAN Cancun,0
CIG3,N099,10CAN Cancun,0
CIG3,F099,10CAN Cancun,0
CIG,N099,10CAN Chichen Itza,0
CIG,F099,10CAN Chichen Itza,0
OHAP,N099,10CAN Chichen Itza,0
OHAP,F099,10CAN Chichen Itza,0
CIG3,N099,10CAN Chichen Itza,0
CIG3,F099,10CAN Chichen Itza,0
CIG,N099,10CAN Kukulkan,0
CIG,F099,10CAN Kukulkan,0
OHAP,N099,10CAN Kukulkan,0
OHAP,F099,10CAN Kukulkan,0
CIG3,N099,10CAN Kukulkan,0
CIG3,F099,10CAN Kukulkan,0
CIG,N099,10CAN Merida,0
CIG,F099,10CAN Merida,0
OHAP,N099,10CAN Merida,0
OHAP,F099,10CAN Merida,0
CIG3,N099,10CAN Merida,0
CIG3,F099,10CAN Merida,0
CIG,N099,10CAN PlayaDelCarmen,0
CIG,F099,10CAN PlayaDelCarmen,0
OHAP,N099,10CAN PlayaDelCarmen,0
OHAP,F099,10CAN PlayaDelCarmen,0
CIG3,N099,10CAN PlayaDelCarmen,0
CIG3,F099,10CAN PlayaDelCarmen,0
CIG,N099,10CAN Uxmal,0
CIG,F099,10CAN Uxmal,0
OHAP,N099,10CAN Uxmal,0
OHAP,F099,10CAN Uxmal,0
CIG3,N099,10CAN Uxmal,0
CIG3,F099,10CAN Uxmal,0
CIG,N099,10CAN Xcaret,0
CIG,F099,10CAN Xcaret,0
OHAP,N099,10CAN Xcaret,0
OHAP,F099,10CAN Xcaret,0
CIG3,N099,10CAN Xcaret,0
CIG3,F099,10CAN Xcaret,0
CIG,N099,10CHI Chi Centro,0
CIG,F099,10CHI Chi Centro,0
OHAP,N099,10CHI Chi Centro,0
OHAP,F099,10CHI Chi Centro,0
CIG3,N099,10CHI Chi Centro,0
CIG3,F099,10CHI Chi Centro,0
CIG,N099,10CHI Chi Desierto,0
CIG,F099,10CHI Chi Desierto,0
OHAP,N099,10CHI Chi Desierto,0
OHAP,F099,10CHI Chi Desierto,0
CIG3,N099,10CHI Chi Desierto,0
CIG3,F099,10CHI Chi Desierto,0
CIG,N099,10CHI Chi Sierra,0
CIG,F099,10CHI Chi Sierra,0
OHAP,N099,10CHI Chi Sierra,0
OHAP,F099,10CHI Chi Sierra,0
CIG3,N099,10CHI Chi Sierra,0
CIG3,F099,10CHI Chi Sierra,0
CIG,N099,10CHI Jua Antiguo,0
CIG,F099,10CHI Jua Antiguo,0
OHAP,N099,10CHI Jua Antiguo,0
OHAP,F099,10CHI Jua Antiguo,0
CIG3,N099,10CHI Jua Antiguo,0
CIG3,F099,10CHI Jua Antiguo,0
CIG,N099,10CHI Jua Industrial,0
CIG,F099,10CHI Jua Industrial,0
OHAP,N099,10CHI Jua Industrial,0
OHAP,F099,10CHI Jua Industrial,0
CIG3,N099,10CHI Jua Industrial,0
CIG3,F099,10CHI Jua Industrial,0
CIG,N099,10CUE Acapulco,0
CIG,F099,10CUE Acapulco,0
OHAP,N099,10CUE Acapulco,0
OHAP,F099,10CUE Acapulco,0
CIG3,N099,10CUE Acapulco,0
CIG3,F099,10CUE Acapulco,0
CIG,N099,10CUE Chilpancingo,0
CIG,F099,10CUE Chilpancingo,0
OHAP,N099,10CUE Chilpancingo,0
OHAP,F099,10CUE Chilpancingo,0
CIG3,N099,10CUE Chilpancingo,0
CIG3,F099,10CUE Chilpancingo,0
CIG,N099,10CUE Cuautla,0
CIG,F099,10CUE Cuautla,0
OHAP,N099,10CUE Cuautla,0
OHAP,F099,10CUE Cuautla,0
CIG3,N099,10CUE Cuautla,0
CIG3,F099,10CUE Cuautla,0
CIG,N099,10CUE Cuernavaca,0
CIG,F099,10CUE Cuernavaca,0
OHAP,N099,10CUE Cuernavaca,0
OHAP,F099,10CUE Cuernavaca,0
CIG3,N099,10CUE Cuernavaca,0
CIG3,F099,10CUE Cuernavaca,0
CIG,N099,10CUE Iztapalapa,0
CIG,F099,10CUE Iztapalapa,0
OHAP,N099,10CUE Iztapalapa,0
OHAP,F099,10CUE Iztapalapa,0
CIG3,N099,10CUE Iztapalapa,0
CIG3,F099,10CUE Iztapalapa,0
CIG,N099,10CUE Tlalpan,0
CIG,F099,10CUE Tlalpan,0
OHAP,N099,10CUE Tlalpan,0
OHAP,F099,10CUE Tlalpan,0
CIG3,N099,10CUE Tlalpan,0
CIG3,F099,10CUE Tlalpan,0
CIG,N099,10DCU Colima,0
CIG,F099,10DCU Colima,0
OHAP,N099,10DCU Colima,0
OHAP,F099,10DCU Colima,0
CIG3,N099,10DCU Colima,0
CIG3,F099,10DCU Colima,0
CIG,N099,10DCU Culiacan,0
CIG,F099,10DCU Culiacan,0
OHAP,N099,10DCU Culiacan,0
OHAP,F099,10DCU Culiacan,0
CIG3,N099,10DCU Culiacan,0
CIG3,F099,10DCU Culiacan,0
CIG,N099,10DCU Culiacan Norte,0
CIG,F099,10DCU Culiacan Norte,0
OHAP,N099,10DCU Culiacan Norte,0
OHAP,F099,10DCU Culiacan Norte,0
CIG3,N099,10DCU Culiacan Norte,0
CIG3,F099,10DCU Culiacan Norte,0
CIG,N099,10DCU Culiacan Sur,0
CIG,F099,10DCU Culiacan Sur,0
OHAP,N099,10DCU Culiacan Sur,0
OHAP,F099,10DCU Culiacan Sur,0
