PERNR;LGART;BEGDA;ANZHL;PTZEINH;BETRG;WAERS;ESTDT;ZUORD;DATUM;ZUTIMER;ZSTAT;ZFPROC;ZUTIME;ZUPROC;ZDESCST;ZINFOTIPO
03947849;110F;06/02/2025;0.00000000000000;;180.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
03734188;110F;09/29/2025;0.00000000000000;;210.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05093700;110F;06/02/2025;0.00000000000000;;600.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05570672;110F;06/02/2025;0.00000000000000;;1045.16130000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05264588;110F;06/02/2025;0.00000000000000;;360.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05380528;110F;06/02/2025;0.00000000000000;;360.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
03789122;110F;06/02/2025;0.00000000000000;;296.12900000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
03739678;110F;06/02/2025;0.00000000000000;;360.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05380528;110F;09/29/2025;0.00000000000000;;636.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05350626;110F;06/02/2025;0.00000000000000;;360.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
03851557;110F;06/02/2025;0.00000000000000;;180.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05241222;110F;06/02/2025;0.00000000000000;;360.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
01788948;110F;09/29/2025;0.00000000000000;;930.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
01788948;110F;06/02/2025;0.00000000000000;;930.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
01614774;110F;06/02/2025;0.00000000000000;;1550.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05387308;110F;09/29/2025;0.00000000000000;;360.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05169000;110F;06/02/2025;0.00000000000000;;180.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05353103;110F;09/29/2025;0.00000000000000;;360.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05258311;110F;06/02/2025;0.00000000000000;;360.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05108285;110F;09/29/2025;0.00000000000000;;1350.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05133443;110F;06/02/2025;0.00000000000000;;360.00000000000000;MXN;06/02/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
01614774;110F;09/29/2025;0.00000000000000;;1550.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
03775181;110F;09/29/2025;0.00000000000000;;930.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05526811;110F;09/29/2025;0.00000000000000;;636.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
05255529;110F;09/29/2025;0.00000000000000;;1350.00000000000000;MXN;09/29/2025;;12/09/2025;16:50:01;N;;;;;15.00000000000000
